,Country,Latitude,Longitude
164,Slovenia,46.151241,14.995463
165,Sweden,60.12816100000001,18.643501
166,Swaziland,-26.522503,31.465866
167,Seychelles,-4.679574,55.491977
168,Syrian Arab Republic,34.80207499999999,38.996815
169,Chad,15.454166,18.732207
170,Togo,8.619543,0.824782
171,Thailand,15.870032,100.992541
172,Tajikistan,38.861034,71.276093
173,Turkmenistan,38.969719,59.556278
174,Timor-Leste,-8.874217,125.727539
175,Tonga,-21.178986,-175.198242
176,Trinidad and Tobago,10.691803,-61.222503
177,Tunisia,33.886917,9.537499
178,Turkey,38.963745,35.243322
179,Tuvalu,-7.4784205,178.679924
180,United Republic of Tanzania,-6.369028,34.888822
181,Uganda,1.373333,32.290275
182,Ukraine,48.379433,31.16558
183,Uruguay,-32.522779,-55.765835
184,United States,37.09024,-95.712891
185,Uzbekistan,41.377491,64.585262
186,Saint Vincent and the Grenadines,13.2528179,-61.1970774
187,Venezuela (Bolivarian Republic of),6.42375,-66.58973
188,Viet Nam,14.058324,108.277199
189,Vanuatu,-15.376706,166.959158
190,Samoa,-13.759029,-172.104629
191,Yemen,15.552727,48.516388
192,South Africa,-30.559482,22.937506
193,Zambia,-13.133897,27.849332
194,Zimbabwe,-19.015438,29.154857
